Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3516853;Interior;Gavião Peixoto;252;1;;
3516903;Interior;General Salgado;271;2;;
3517000;Interior;Getulina;277;3;;
3517109;Interior;Glicério;70;2;;
3517208;Interior;Guaiçara;560;6;;
3517307;Interior;Guaimbê;71;3;;
3517406;Interior;Guaíra;1575;45;;
3517505;Interior;Guapiaçu;1048;29;;
3517604;Interior;Guapiara;145;10;;
3517703;Interior;Guará;576;25;;
3517802;Interior;Guaraçaí;83;1;;
3517901;Interior;Guaraci;269;5;;
3518008;Interior;Guarani d'Oeste;52;0;;
3518107;Interior;Guarantã;149;2;;
3518206;Interior;Guararapes;702;9;;
3518305;RMSP (exceto capital);Guararema;555;30;;
3518404;Interior;Guaratinguetá;1854;53;;
3518503;Interior;Guareí;1995;6;;
3518602;Interior;Guariba;1269;34;;
3518701;Interior;Guarujá;9930;415;;
3518800;RMSP (exceto capital);Guarulhos;24999;1599;;
3518859;Interior;Guatapará;133;4;;
3518909;Interior;Guzolândia;86;4;;
3519006;Interior;Herculândia;84;5;;
3519055;Interior;Holambra;450;3;;
3519071;Interior;Hortolândia;7036;158;;
3519105;Interior;Iacanga;300;5;;
3519204;Interior;Iacri;52;0;;
3519253;Interior;Iaras;75;3;;
3519303;Interior;Ibaté;423;6;;
3519402;Interior;Ibirá;425;11;;
3519501;Interior;Ibirarema;149;5;;
3519600;Interior;Ibitinga;1704;49;;
3519709;Interior;Ibiúna;482;29;;
3519808;Interior;Icém;182;3;;
3519907;Interior;Iepê;117;5;;
3520004;Interior;Igaraçu do Tietê;449;15;;
3520103;Interior;Igarapava;707;23;;
3520202;Interior;Igaratá;933;8;;
3520301;Interior;Iguape;652;15;;
3520400;Interior;Ilhabela;1950;13;;
3520426;Interior;Ilha Comprida;177;6;;
3520442;Interior;Ilha Solteira;475;17;;
3520509;Interior;Indaiatuba;5917;239;;
3520608;Interior;Indiana;149;4;;
3520707;Interior;Indiaporã;37;0;;
3520806;Interior;Inúbia Paulista;29;1;;
3520905;Interior;Ipaussu;340;4;;
3521002;Interior;Iperó;283;4;;
3521101;Interior;Ipeúna;144;1;;
3521150;Interior;Ipiguá;257;8;;
3521200;Interior;Iporanga;78;1;;
3521309;Interior;Ipuã;599;23;;
3521408;Interior;Iracemápolis;1221;17;;
3521507;Interior;Irapuã;164;3;;
3521606;Interior;Irapuru;95;2;;
3521705;Interior;Itaberá;251;3;;
3521804;Interior;Itaí;156;1;;
3521903;Interior;Itajobi;492;11;;
3522000;Interior;Itaju;185;1;;
3522109;Interior;Itanhaém;1644;85;;
3522158;Interior;Itaoca;38;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;2874;170;;
3522307;Interior;Itapetininga;2520;66;;
3522406;Interior;Itapeva;1065;17;;
3522505;RMSP (exceto capital);Itapevi;3610;242;;
3522604;Interior;Itapira;1996;50;;
3522653;Interior;Itapirapuã Paulista;68;1;;
3522703;Interior;Itápolis;572;12;;
3522802;Interior;Itaporanga;253;7;;
3522901;Interior;Itapuí;379;5;;
3523008;Interior;Itapura;80;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;4735;314;;
3523206;Interior;Itararé;693;22;;
3523305;Interior;Itariri;420;9;;
3523404;Interior;Itatiba;2025;33;;
3523503;Interior;Itatinga;338;7;;
3523602;Interior;Itirapina;387;6;;
3523701;Interior;Itirapuã;52;1;;
3523800;Interior;Itobi;446;6;;
3523909;Interior;Itu;3732;113;;
3524006;Interior;Itupeva;1918;34;;
3524105;Interior;Ituverava;637;31;;
3524204;Interior;Jaborandi;148;3;;
3524303;Interior;Jaboticabal;876;51;;
3524402;Interior;Jacareí;4128;156;;
3524501;Interior;Jaci;365;6;;
3524600;Interior;Jacupiranga;527;18;;
3524709;Interior;Jaguariúna;1264;30;;
3524808;Interior;Jales;2163;63;;
3524907;Interior;Jambeiro;91;5;;
3525003;RMSP (exceto capital);Jandira;1887;101;;
3525102;Interior;Jardinópolis;995;53;;
3525201;Interior;Jarinu;476;24;;
3525300;Interior;Jaú;3491;77;;
3525409;Interior;Jeriquara;70;0;;
3525508;Interior;Joanópolis;151;3;;
3525607;Interior;João Ramalho;123;3;;
3525706;Interior;José Bonifácio;1360;23;;
3525805;Interior;Júlio Mesquita;35;2;;
3525854;Interior;Jumirim;85;1;;
3525904;Interior;Jundiaí;14493;426;;
3526001;Interior;Junqueirópolis;235;5;;
3526100;Interior;Juquiá;464;12;;
3526209;RMSP (exceto capital);Juquitiba;1104;16;;
3526308;Interior;Lagoinha;74;1;;
3526407;Interior;Laranjal Paulista;963;7;;
3526506;Interior;Lavínia;426;2;;
3526605;Interior;Lavrinhas;64;1;;
3526704;Interior;Leme;3012;78;;
3526803;Interior;Lençóis Paulista;3074;52;;
3526902;Interior;Limeira;10319;279;;
3527009;Interior;Lindóia;103;3;;
3527108;Interior;Lins;3000;47;;
3527207;Interior;Lorena;1249;32;;
3527256;Interior;Lourdes;66;1;;
3527306;Interior;Louveira;1016;26;;
3527405;Interior;Lucélia;112;7;;
3527504;Interior;Lucianópolis;15;0;;
3527603;Interior;Luís Antônio;336;10;;
3527702;Interior;Luiziânia;89;2;;
3527801;Interior;Lupércio;38;0;;
3527900;Interior;Lutécia;7;0;;
3528007;Interior;Macatuba;852;10;;
3528106;Interior;Macaubal;104;4;;
3528205;Interior;Macedônia;102;4;;
3528304;Interior;Magda;47;2;;
3528403;Interior;Mairinque;646;21;;
3528502;RMSP (exceto capital);Mairiporã;1866;67;;
3528601;Interior;Manduri;127;0;;
3528700;Interior;Marabá Paulista;50;1;;
3528809;Interior;Maracaí;194;1;;
3528858;Interior;Marapoama;83;3;;
3528908;Interior;Mariápolis;30;0;;
3529005;Interior;Marília;4693;81;;
3529104;Interior;Marinópolis;60;1;;
3529203;Interior;Martinópolis;358;14;;
3529302;Interior;Matão;1000;28;;
3529401;RMSP (exceto capital);Mauá;9119;400;;
3529500;Interior;Mendonça;181;10;;
3529609;Interior;Meridiano;136;5;;
3529658;Interior;Mesópolis;35;1;;
3529708;Interior;Miguelópolis;585;16;;
3529807;Interior;Mineiros do Tietê;310;7;;
3529906;Interior;Miracatu;388;17;;
